Underwriting,Sex,IssueAge,Duration
NS_SP,Male,32,5
S_P,Female,36,11
NS_R,Male,24,12
NS_P,Male,36,17
NS_R,Female,21,12
NS_R,Male,19,11
S_P,Female,44,16
NS_P,Female,19,2
NS_R,Male,42,10
NS_R,Female,44,13
NS_SP,Female,20,12
NS_R,Female,19,10
NS_P,Male,44,4
S_P,Female,35,17
S_P,Male,23,17
NS_P,Male,34,4
NS_SP,Female,21,3
NS_SP,Female,44,10
NS_SP,Male,21,6
NS_SP,Female,18,14
NS_P,Female,21,5
S_P,Female,27,11
NS_SP,Male,49,12
S_P,Male,44,17
NS_R,Male,41,2
S_R,Female,18,5
NS_R,Male,28,18
S_P,Male,21,10
NS_SP,Female,22,4
NS_SP,Female,39,6
NS_R,Male,42,13
NS_SP,Male,38,18
NS_P,Male,37,7
NS_SP,Male,19,12
NS_R,Female,33,12
S_R,Male,22,10
S_P,Female,24,6
NS_P,Female,49,12
NS_SP,Male,25,19
S_P,Male,39,16
S_R,Male,18,7
NS_R,Male,47,18
NS_SP,Male,39,13
NS_P,Male,32,1
NS_P,Female,26,2
NS_SP,Male,40,11
S_R,Female,47,3
NS_R,Female,39,12
NS_P,Male,30,7
NS_SP,Female,39,12
NS_SP,Male,19,1
NS_R,Male,33,7
S_R,Male,43,15
NS_P,Female,24,8
NS_R,Female,20,11
NS_SP,Female,28,10
S_R,Female,20,18
NS_R,Female,34,8
S_P,Female,20,2
NS_R,Female,33,4
NS_SP,Male,22,12
NS_R,Female,30,17
NS_SP,Female,38,9
S_P,Male,19,1
NS_R,Female,46,1
NS_R,Male,32,8
NS_R,Female,48,16
NS_P,Female,45,4
NS_R,Female,42,4
NS_P,Male,46,18
S_R,Female,46,12
S_R,Female,45,15
S_P,Male,22,2
S_P,Male,36,3
NS_R,Male,42,10
S_R,Male,46,15
S_P,Female,36,9
NS_SP,Male,42,11
NS_SP,Female,25,10
NS_SP,Male,31,12
NS_SP,Male,49,8
NS_SP,Female,25,8
NS_R,Female,30,19
NS_P,Female,47,5
S_P,Female,19,14
NS_P,Male,42,4
NS_SP,Male,21,14
